Code,Name,Description
MUS33,Intermediate Piano,Intermediate piano lessons.
MUS35A,Piano Accompanying,"An introduction to the study of accompaniment repertoire and performance (art song, instrumental literature, orchestral transcriptions, sight-reading)."
MUS35B,Piano Accompanying,"An introduction to the study of accompaniment repertoire and performance (art song, instrumental literature, orchestral transcriptions, sight-reading)."
MUS35C,Piano Accompanying,"An introduction to the study of accompaniment repertoire and performance (art song, instrumental literature, orchestral transcriptions, sight-reading)."
MUS35D,Piano Accompanying,"An introduction to the study of accompaniment repertoire and performance (art song, instrumental literature, orchestral transcriptions, sight-reading)."
MUS3A,Introduction to Music Studies,"Introduces students to ways of studying music as a cultural practice situated in society. Methods are drawn from musicology, ethnomusicology, history, anthropology, and sociology. Students will be taught to think critically about music as a universal..."
MUS3B,Writing about Music,"Acquaints students with different approaches to writing and speaking about music of many traditions. The works of performers, critics, music theorists, ethnographers, musicologists, and historians will all be represented in the selection of assigned..."
MUS3C,Structures of Music,"Looking at a variety of music traditions from different parts of the world, the class will survey varying approaches to issues of compositional structure, rhythm, intonation, scales, etc. The class will have listening and practical components."
MUS4A,Musicianship,"A practical course in sight singing, aural analysis, and rhythmic studies."
MUS4B,Musicianship,"A practical course in sight singing, aural analysis, and rhythmic studies."
MUS4C,Musicianship,"A practical course in sight singing, aural analysis, and rhythmic studies."
MUS4D,Musicianship,"A practical course in sight singing, aural analysis, and rhythmic studies."
MUS4E,Musicianship,"A practical course in sight singing, aural analysis, and rhythmic studies."
MUS4F,Musicianship,"A practical course in sight singing, aural analysis, and rhythmic studies."
MUS501,Directed Teaching in Music,Covers development of teaching techniques especially oriented to lower-division instruction. Theoretical aspects covered at beginning of each quarter. Practical techniques discussed including weekly meeting with class instructor. Required course for...
MUS502,Teaching Practicum,Teaching assistant: leads discussion of topics covered in the lecture. Associate: assumes full responsibility for the teaching of one or more courses.
MUS51,Vocal and Instrumental Coaching,Musical preparation of vocal or instrumental works from a coach/accompanist.
MUS52,Vocal & Instrument Coaching Supervision,Music preparation of vocal or instrumental works from a coach/accompanist. Coaches and accompanists are assigned by a faculty member.
MUS53,Viola Orchestral Repertoire,The study of the entire standard orchestral repertoire for viola and audition procedures.
MUS54,Acting for Singers,"Study of techniques and practice of acting on the stage for singers as preparation for performing operatic roles, in lecture and workshop settings."
MUS593,Dissertation Writing Seminar,Designed to serve all A.B.D. graduate students in the academic areas who are at various stages of writing their dissertation thesis. Seminar will be organized as a workshop in which all students will present portions of their writing for discussion....
MUS594,Special Topics,"Special seminar in selected problems of current musicology, ethnomusicology, composition, theory, or performance."
MUS594A,Special Topics,"Special seminar in selected problems of current musicology, ethnomusicology, composition, theory, or performance."
MUS594AA,Special Topics,"Special seminar in selected problems of current musicology, ethnomusicology, composition, theory, or performance."
MUS594B,Special Topics,"Special seminar in selected problems of current musicology, ethnomusicology, composition, theory, or performance."
MUS594S,Special Topics,"Special seminar in selected problems of current musicology, ethnomusicology, composition, theory, or performance."
MUS594ST,Special Topics,"Special seminar in selected problems of current musicology, ethnomusicology, composition, theory, or performance."
MUS594Z,Special Topics,"Special seminar in selected problems of current musicology, ethnomusicology, composition, theory, or performance."
MUS595,Group Studies,"Critical review of research in selected problems of musicology, ethnomusicology, composition, theory, or performance."
MUS596,Directed Reading and Research,"Individual tutorial for research in musicology, ethnomusicology, composition, theory, or performance; instructor will usually be student's major professor."
MUS597,Individual Study for Master's Comprehensive and Doctoral Qualifying Exam- inations for Advancement to Candidacy,Individual study for master's comprehensive and doctoral qualifying examinations for advancement to candidacy.
MUS598,Preparation for Master's Degree,"Instructor will be chair of student's committee in musicology, ethnomusicology, composition, theory, or performance."
MUS599A,Ph.D. Dissertation Research and Preparation,Instructor will ordinarily be chair of student's doctoral committee.
MUS599B,Preparation for Doctor of Musical Arts Post-Candidacy Recitals,Preparation of two full-length recitals (conducting: the equivalent of two full-length concerts) required after advancement to candidacy for the dma degree. Instructor should be student's performance instructor: ordinarily chair of DMA committee.
MUS599C,Preparation of DMA Document,Preparation of the DMA document required after advancement to candidacy for the DMA degree. Instructor should be a member of student's doctoral committee.
MUS5A,Theory of Western Art Music: Fundamentals,"Theory basics, including rhythm and meter, pitch, intervals, scales, keys, triads, seventh chords, and essentials of harmonic progression."
MUS5B,Theory of Western Art Music: Harmonic Practices and Analysis I,"Textural deployments of harmony, tonic and dominant on the small and large scale, contrapuntal influences, cadential progressions, non-chord tones."
MUS5C,Theory of Western Art Music: Harmonic Practices and Analysis II,"Secondary dominants, diatonic modulation, chromatic chords, sequences."
MUS6,Jazz Fundamentals,"Introduction to jazz harmony, scales, and improvization. drill in ear training and beginning keyboard."
MUS8,Class Composition,Assignments in basics of music writing.
MUS88,Intermediate Composition,Preparation for Music 108.
MUS94,Freshman Audition,Preparation of freshman audition.
MUS97,Sophomore Audition,Preparation of sophomore audition.
MUS97B,Sophomore Composition Portfolio,Preparation of sophomore composition portfolio.
MUS98,Readings in Music,"Critical review and discussion of related topics in musicology, ethnomusicology, composition, theory, or performance."
MUS99,Introduction to Musical Research,"Independent research under the guidance of a faculty member in the department. Course offers exceptional students the opportunity to undertake independent research or work in a research group in topics in musicology, ethnomusicology, composition, the..."
PHIL1,Short Introduction to Philosophy,An introductory course in western philosophy.
PHIL100A,Ethics,"An examination of the fundamental concepts, theories, and problems of moral or political philosophy."
PHIL100B,Theory of Knowledge,"Investigates fundamental questions surrounding the nature of human knowledge and human justification, such as: What do I know? What am I justified in believing? What is it to know something? What is it to hold a justified belief?"
PHIL100C,Philosophy of Language,"Introduction to philosophical problems and theories concerning the nature of language. Topics typically include the notion of linguistic structure, theories of meaning and reference, names and descriptions, the relations between languages and thought..."
PHIL100D,Philosophy of Mind,"Discussion of some central questions about the mind: are people identical to their bodies? What is it to feel, believe, or desire something? What distinguishes intelligent thinking from a computer's activities? What is the connection between language..."
PHIL100E,Metaphysics,"Introduction to the philosophical study of the most general and fundamental features of reality. Topics vary, but may include universals, particulars, identity and individuation, substance, the nature of persons, causation, and the nature of time."
PHIL100F,Introduction to the Philosophy of Science,"An introduction to the philosophical analysis of the concepts and methods of science, treating such topics as: explanation, confirmation, causation, scientific laws, the interpretation, meaning and reference of scientific theories, theory reduction a..."
PHIL107,Continental Philosophy,A survey of recent continental philosophy.
PHIL108,Philosophy of the Social Sciences,"Questions and problems in the methodology of the social sciences, includingwhether the social sciences have distinctive methods of explanation; modelsof rationality employed in the social sciences; and whether the social sciences can or should be val..."
PHIL112,Philosophy of Religion,"A study of some of the following topics: religious language, the existence and nature of god, the problem of evil, religious experience, religion and morality, the rationality of religious belief."
PHIL116,Meaning and Reference,"An examination of the classical theories of meaning and reference: John Stuart Mill, Gottlob Frege, Bertrand Russell, and the theory of direct reference. Investigation of solutions to the classical puzzles of meaning and reference."
PHIL117,Philosophy of Computing and Artificial Intelligence,Advances in artificial intelligence and the widespread use of computers in society confront us with many interesting philosophical questions. What is computation? Is AI really intelligence? Could computers ever think or feel? Is the Turing test a goo...
PHIL12,Introduction to the Philosophy of Religion,An introduction to several traditional philosophical problems connected with religious belief.
PHIL120,Advanced Topics in Biomedical Ethics,"Topics will include: abortion, euthanasia, medical experimentation, genetic engineering, and debts to future generations."
PHIL121,Political Philosophy,"Analysis of fundamental political conceptions; the state, sovereignty, political obligation, natural rights, natural law, etc."
PHIL122,Theories of Justice,"An examination, in detail, of one or more influential philosophical theories of justice."
PHIL124A,Philosophy of Science,What is science? How does it differ from non-science? Course examines both the history of science and the history of philosophy of science in an effort to discover just what science is and what it has to offer.
PHIL124B,Philosophy of Physics,Emphasizes the role that philosophical considerations played in both the evolution and actual practice of science. The major emphasis is on the creation and development of the watersheds of twentieth-century physics: relativity and quantum mechanics.
PHIL124C,Philosophy of Space and Time,"Is space a thing or a series of relations holding between objects? Does time pass differently for different observers, or in different parts of the universe? Consideration of these and other questions lead to an examination of contemporary physics."
PHIL124D,Philosophy of Quantum Mechanics,"Examines the history of the development of quantum mechanics, focusing on the philosophical conundrums that arose from the tortured process of finding a theory that ""worked."" This is done at the conceptual level, with minimal reliance on mathematical..."
PHIL124E,Philosophy of Biology,"The biological sciences are distinctively different from the physical sciences. This course will focus on philosophical topics central to biology, such as evolutionary theory and its implications, the proper understanding of concepts such as function..."
PHIL124F,Philosophical Foundations of Cognitive Science,What is the mind and how can we model it? Cognitive science offers a distinctive approach to fundamental philosophical questions about the mind. This course begins with the classical foundations of cognitive science and surveys recent developments in...
PHIL124G,Philosophy and Neuroscience,"The brain is the seat of who we are. This course will focus on topics at the intersection of philosophy and the brain sciences, such as neuroethics, philosophy of neuroscience, representation in the brain, or philosophical and scientific theories of..."
PHIL125,Animal Minds,The goal of this course is to examine current research in animal cognition with a view to understanding how philosophical and scientific questions about animal minds interact. Topics may include whether nonhuman animals can feel pain; whether they ca...
PHIL126,Social Philosophy,"This course will examine moral problems associated with economic activity; for example, economic justice and the moral basis of property rights."
PHIL127,Philosophy of Gender,"Philosophical issues involving the concept of gender. Topics may include the distinction between sex and gender, gender and sexuality, theories of gender, gender identity and expression, non-binary and queer genders, and gender subordination and oppr..."
PHIL128,Feminist Philosophy,"In this course, we examine philosophical approaches to feminism and feminist issues. Topics covered may include inequality in the workplace and in family structures; global feminism; objectification; pornography; and prostitution."
PHIL129,Philosophy of International Relations,Study of philosophical problems in international relations.
PHIL130,Freedom and Determinism,Determinism is the doctrine that the laws of nature plus the past necessitate the future. Is determinism compatible with the view that we often act freely and are often morally responsible for what we do?
PHIL131,Advanced Topics in Applied Ethics.,"Advanced topics in applied ethics, such as the ethics of war; the ethics of procreation; and the ethics of how we treat animals."
PHIL132,Existentialism,A study of some existentialist writings.
PHIL133,History of Political Thought,A study of one or more important figures from the history of political thought.
PHIL134,Moral Psychology,"An examination of the nature of desires, emotions, the imagination and other aspects of human psychology, and of the ways these bear on the moral evaluation of people and actions."
PHIL135,Contemporary Philosophy,Systematic investigation of topics drawn from contemporary analytic or continental philosophy.
PHIL136,Advanced Topics in Feminist Philosophy,"Focuses on advanced topics in feminist philosophy, sometimes covering one topic or one author over the course. Content will vary but may include contemporary debates, such as gender, pornography, consent, single authors such as Wollstonecraft, or de..."
PHIL137,Aesthetic Theory,"A study of some major works in the philosophy of art from Plato to the present, with emphasis on the development and analysis of the basic concepts employed in criticism of the arts."
PHIL138,Normative Ethics,An examination of what makes actions morally right or wrong and people morally good or bad.
PHIL139,Meta-Ethics,An examination of problems concerning the meaning and justification of moral judgments.
PHIL141,History of Ethics,A study of one or more historically important moral philosophers.
PHIL142,Advanced Topics in Philosophy of Religion,Advanced topics in the philosophy of religion. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL143,Philosophy of Law,"An introduction to some of the main issues generated by the philosophical question, ""What is law?"" In what sense is conduct made obligatory by the existence of law? What, if any, is the relationship between law and morals? What are rules? What does i..."
PHIL144,Advanced Topics in the Philosophy of Law,Study of advanced topics in the philosophy of law.
PHIL145,Punishment and Responsibility,"An examination of some of the philosophical problems of punishment and responsibility: The rationale of punishment and the legal doctrine of Mensrea; the analysis of conditions of responsibility, relations between punishment, responsibility, retribut..."
PHIL146,Philosophy in Literature,"Introduction to major problems at the intersection of philosophy and literature. Issues addressed may include philosophical assessments of literature, authorship and interpretation, truth in fiction, significance of literary works and form for philos..."
PHIL147,Philosophy of Economics,"An introduction to conceptual and methodological issues surrounding modern economics. Topics may include the scientific status of economics, the use of economic models, the connection between economics and moral theory, and notions of preference, cho..."
PHIL149,Action Theory,"An examination of philosophical topics connected with human action, e.g. the role of intentions and desires in the explanation and justification of action and the nature of practical reason."
PHIL150A,Advanced Topics in Ethical Theory,Advanced topics in ethical theory. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL150B,Advanced Topics in Theory of Knowledge,Advanced topics in theory of knowledge. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL150C,Advanced Topics in Philosophy of Language,Specific subject matter selected by the instructor. Descriptions available in the department office before each quarter.
PHIL150D,Advanced Topics in Philosophy of Mind,Advanced topics in philosophy of mind. Specific subject matter is selected the instructor and descriptions are available in the department office before each quarter.
PHIL150E,Advanced Topics in Metaphysics,Advanced topics in metaphysics. Specific subject matter is selected by the instructor and descriptions are available in the department before each quarter.
PHIL151,Pre-Socratics,A study of the pre-Socratic philosophers.
PHIL152,Plato,The philosophy of Plato.
PHIL153,Aristotle,The philosophy of Aristotle.
PHIL154,Socrates,Socrates and his place in Greek philosophy. The course focuses mainly on Plato's Socratic dialogues but may also treat Socrates' predecessors (principally the Sophists) and contemporary views of Socrates in other authors.
PHIL156,Hellenistic Philosophy,An examination of the thought of major Greek philosophers of the Hellenistic period.
PHIL160,Descartes,The philosophy of Descartes.
PHIL161,Spinoza,The philosophy of Spinoza.
PHIL162,Leibniz,The philosophy of Leibniz.
PHIL163,Locke,The philosophy of John Locke.
PHIL164,Berkeley,The philosophy of Berkeley.
PHIL165,Hume,The philosophy of David Hume.
PHIL166A,Kant's Theoretical Philosophy,An examination of Kant’s theoretical philosophy.
PHIL166B,Kant's Practical Philosophy,An examination of Kant’s practical philosophy.
PHIL167,Hobbes,This course examines the philosophy of Thomas Hobbes (1588-1679).
PHIL168,Nietzsche,The philosophy of Nietzsche.
PHIL170,Wittgenstein,The philosophy of Wittgenstein.
PHIL172,Heidegger,The philosophy of Heidegger.
PHIL173,Frege,"An examination of the work of the German philosopher and logician, Gottlob Frege."
PHIL174,Early Analytic Philosophy,"A study of one or more major philosophers from the early stages of the analytic tradition (e.g. Frege, Moore, Russell, Wittgenstein, and the logical positivists.)"
PHIL175,Other Philosophers,"Course content will vary. Philosophers not taught in a regular course offering--such philosophers as Plotinus, Bacon, Hobbes, Pascal, Reid, Schopenhauer, Bradley--yet whose work is intrinsically important will be studied. Students may check with the..."
PHIL175A,American Philosophy,"An examination of the roots and early development of American philosophy with special attention paid to the theory of natural rights, its role in the founding of the nation, and the movement to abolish slavery."
PHIL175B,American Philosophy,"An examination of the development of American philosophy in the 19th and early 20th century, with special attention paid to Pragmatism (e.g. the philosophical writings of Peirce, James and Dewey) and modifications of the theory of natural rights in r..."
PHIL176,Historical Philosophers,Examination of historical philosophers beyond those covered in Philosophy 106 and 151-166.
PHIL180,Philosophical Psychology,"An examination of some of the concepts of the mind such as those of desire,intention, action, perception, sensation, and the unconcious."
PHIL183,Beginning Modern Logic,An introduction to the concepts and methods of moder symbolic logic. Emphasis is placed on problems of translating english expressions into logical symbols and on the development of skills in using the formal proof procedures of sentential and predic...
PHIL184,Intermediate Modern Logic,"Further application and development of the predicate calculus, including the calculi of identity and description. An introduction to the metalogical questions of completeness, consistency, and decidability."
PHIL185,Advanced Modern Logic,"Topics from the theory of formal systems, set theory, recursive function theory, and automata theory."
PHIL186,Philosophical Logic,Topics in logical theory and the philosophy of logic: intensional logic andother non-standard logics (such as modal logic); discussion of results of modern logic and their philosophical implications.
PHIL187,Philosophy of Mathematics,"Logistic, formalist, and intuitionist views of th nature of mathematics. Epistemological problems of applied mathematics."
PHIL188,Theory of Value,Study of theories of the nature and structure of the good and of value judgments generally.
PHIL189,Philosophy of Love and Sex,"An examination of philosophical theories about the nature and moral significance of romantic love, of sex, and of the relation between the two."
PHIL192,Internship in Philosophy,Practical experience and application of analytical skills learned in philosophy as interns with agencies and business. Periodic and final reports required under faculty direction.
PHIL197A,Senior Honors Thesis,A continuous two-quarter research and writing tutorial designed for senior honors majors. The first term will be spent mainly in selecting and researching a topic for the thesis.
PHIL197B,Senior Honors Thesis,A continuous two-quarter research and writing tutorial designed for senior honors majors. The second term will be spent mainly in the writing of the thesis.
PHIL197P,Senior Project for Majors with Ethics and Public Policy Emphasis,A research and writing tutorial on some topic relevant to issues in ethics and public policy. A written proposal of the project must be approved by the undergraduate adviser and the instructor.
PHIL199,Independent Studies in Philosophy,A written statement of the proposed program of study must be presented to the instructor for his or her approval before the student signs up for the course.
PHIL199RA,Independent Research Assistant,Course work shall consist of faculty supervised research.
PHIL207G,Continental Philosophy,A survey of recent continental philosophy.
PHIL208G,Philosophy of the Social Sciences,"Questions and problems in the methodology of the social sciences, includingwhether the social sciences have distinctive methods of explanation; modelsof rationality employed in the social sciences and whether the social sciences can or should be valu..."
PHIL20A,History of Philosophy,From Thales to Aristotle.
PHIL20B,History of Philosophy,From Medievals to Rationalists.
PHIL20C,History of Philosophy,From the Empiricists to Kant.
PHIL212G,Philosophy of Religion,Study at the graduate level of topics in the philosophy of religion.
PHIL216G,Meaning and Reference,"An examination of the classical theories of meaning and reference: John Stuart Mill, Gottlob Frege, Bertrand Russell, and the theory of direct reference. Solutions to the classical puzzles of meaning and reference are investigated."
PHIL217,Philosophy of Computing and Artificial Intelligence,Advances in artificial intelligence and the widespread use of computers in society confront us with many interesting philosophical questions. What is computation? Is AI really intelligence? Could computers ever think or feel? Is the Turing test a goo...
PHIL220G,Topics in Bio-medical Ethics,"A study at the graduate level of selected topics in bio-medical ethics; topics will include (but not be limited to ) abortion, euthanasia, medical experimentation, genetic engineering, and debts to future generations."
PHIL221G,Political Philosophy,A study at the graduate level of selected problems in political philosophy.
PHIL222G,Theories of Justice,"A study at the graduate level of an examination, in detail, of one or more influential philosophical theories of justice."
PHIL224A,Philosophy of Science,What is science? How does it differ from non-science? Course examines both the history of science and the history of philosophy of science in an effort to discover just what science is and what it has to offer.
PHIL224B,Philosophy of Physics,Emphasizes the role that philosophical considerations played in both the evolution and actual practice of science. The major emphasis is on the creation and development of the watersheds of twentieth-century physics: relativity and quantum mechanics.
PHIL224C,Philosophy of Space and Time,"Is space a thing or a series of relations holding between objects? Does time pass differently for different observers, or in different parts of the universe? Consideration of these, and other questions leads to an examination of contemporary physics."
PHIL224D,Philosophy of Quantum Mechanics,"Examines the history of the development of quantum mechanics, focusing on the philosophical conundrums that arose from the tortured process of finding a theory that ""worked."" This is done at the conceptual level, with minimal reliance on mathematical..."
PHIL224E,Philosophy of Biology,"The biological sciences are distinctively different from the physical sciences. This course will focus on philosophical topics central to biology, such as evolutionary theory and its implications, the proper understanding of concepts such as function..."
PHIL224F,Philosophical Foundations of Cognitive Science,What is the mind and how can we model it? Cognitive science offers a distinctive approach to fundamental philosophical questions about the mind. This course begins with the classical foundations of cognitive science and surveys recent developments in...
PHIL224G,Philosophy and Neuroscience,"The brain is the seat of who we are. This course will focus on topics at the intersection of philosophy and the brain sciences, such as neuroethics, philosophy of neuroscience, representation in the brain, or philosophical and scientific theories of..."
PHIL225,Animal Minds,The goal of this course is to examine current research in animal cognition with a view to understanding how philosophical and scientific questions about animal minds interact. Topics may include whether nonhuman animals can feel pain; whether they ca...
PHIL226G,Social Philosophy,"A study at the graduate level of moral problems associated with economic activity, for example, economic justice and the moral basis of property rights."
PHIL227G,Philosophy of Gender,"Philosophical issues involving the concept of gender. Topics may include the distinction between sex and gender, gender and sexuality, theories of gender, gender identity and expression, non-binary and queer genders, and gender subordination and oppr..."
PHIL228G,Feminist Philosophy,A study at the graduate level of philosophical approaches to feminism and feminist issues. Topics covered may include inequality in the workplace and in family structures; global feminism; objectification; pornography; and prostitution.
PHIL229G,Philosophy of International Relations,The study of philosophical problems in international relations.
PHIL230G,Freedom and Determinism,A study at the graduate level of the problem of whether human action is free or determined.
PHIL231G,Advanced Topics in Applied Ethics,Advanced topics in applied ethics.
PHIL232G,Existentialism,A study at the graduate level of selected existentialist writers.
PHIL233G,History of Political Thought,A study of one or more important figues from the history of political thought.
PHIL234G,Moral Psychology,"An examination of the nature of desires, emotions, the imagination, and other aspects of human psychology, and of the ways these bear on the moral evaluation of people and actions."
PHIL235G,Contemporary Philosophy,A study at the graduate level of selected topics in contemporary philosophy.
PHIL236G,Advanced Topics in Feminist Philosophy,"A study at the graduate level on topics in feminist philosophy, sometimes covering one topic or one author over the course. Content will vary but may include contemporary debates, such as gender, pornography, consent, single authors such as Wollstone..."
PHIL237G,Aesthetic Theory,A study at the graduate level of the development and analysis of the basic concepts employed in criticism of the arts.
PHIL238G,Normative Ethics,An examination of what makes actions morally right or wrong and people morally good or bad.
PHIL239G,Meta-ethics,An examination of problems concerning the meaning and justification of moral judgments.
PHIL241G,History of Ethics,A study of one or more historically important moral philosophers.
PHIL242G,Topics in the Philosophy of Religion,A study at the graduate level of topic in the philosophy of religion.
PHIL243G,Philosophy of Law,"An introduction to some of the main issues generated by the philosophical question, ""What is law?"" 1. In what sense is conduct made obligatory by theexistence of law? 2. What, if any, is the relationship between law and morals? 3. What are rules? Wha..."
PHIL244G,Advanced Topics in the Philosophy of Law,Advanced topics in the philosophy of law.
PHIL245G,Punishment and Responsibility,"An examination of some of the philosophical problems of punishment and responsibility: the rationale of punishment and the legal doctrine of mens rea; the analysis of conditions of responsibility, relations between punishment, responsibility, retribu..."
PHIL247,Philosophy of Economics,"An introduction at the graduate level to conceptual and methodological issues surrounding modern economics. Topics may include the scientific status of economics, the use of economic models, the connection between economics and moral theory, and noti..."
PHIL249G,Action Theory,"An examination of philosophical topics connected with human action, e.g. the role of intentions and desires in the explanation and justification of action and the nature of practical reasons."
PHIL250A,Topics in Ethical Theory,A study at the graduate level of topics in ethical theory.
PHIL250B,Topics in Theory of Knowledge,A study at the graduate level of topics in th theory of knowledge.
PHIL250C,Topics in Philosophy of Language,A study at the graduate level of topics in the philosophy of language.
PHIL250D,Topics in Philosophy of Mind,A study at the graduate level of topics in the philosophy of mind.
PHIL250E,Topics in Metaphysics,A study at the graduate level of topics in metaphysics.
PHIL251G,Pre-Socratics,A study at the graduate level of selected writings of the pre-Socratic era.
PHIL252G,Plato,A study at the graduate level of selected writings of Plato.
PHIL253G,Aristotle,A study at the graduate level of selected writings of Aristotle.
PHIL254G,Socrates,A study at the graduate level of Socrates and his place in Greek philosophy. The course focuses mainly on Plato's Socratic dialogues but may also treat Socrates' predecessors (principally the Sophists) and contemporary views of Socrates in other auth...
PHIL256G,Hellenistic Philosophy,A study at the graduate level of selected writings of the Hellenistic philosophers.
PHIL260G,Descartes,A study at the graduate level of selected writings of Descartes.
PHIL261G,Spinoza,A study at the graduate level of selected writings of Spinoza.
PHIL262G,Leibniz,A study at the graduate level of selected writings of Leibniz.
PHIL263G,Locke,A study at the graduate level of selected writings of Locke.
PHIL264G,Berkeley,A study at the graduate level of selected writings of Berkeley.
PHIL265G,Hume,A study at the graduate level of selected writings of Hume.
PHIL266A,Kant,A study at the graduate level of selected writings of Kant.
PHIL266B,Kant,A study at the graduate level of selected writings of Kant.
PHIL267G,Hobbes,This course examines the philosophy of Thomas Hobbes (1588-1679).
PHIL268G,Nietzsche,A study at the graduate level of selected writings of Nietzsche.
PHIL270G,Wittgenstein,A study at the graduate level of selected writings of Wittgenstein.
PHIL272G,Heidegger,A study at the graduate level of selected writings of Heidegger.
PHIL273G,Frege,"An examination of the work of the german philosopher and logician, Gottlob Frege."
PHIL274G,Early Analytic Philosophy,"A study of one or more major philosophers from the early stages of the analytic tradition (e.g. Frege, Moore, Russell, Wittgenstein, and the logical positivists.)"
PHIL275A,American Philosophy A,"An examination of the roots and early development of American philosophy with special attention paid to the theory of natural rights, its role in the founding of the nation, and the movement to abolish slavery."
PHIL275B,American Philosophy B,"An examination of the development of American philosophy in the 19th and early 20th century, with special attention paid to Pragmatism (e.g. the philosophical writings of Peirce, James and Dewey) and modifications of the theory of natural rights in r..."
PHIL275G,Other Philosophers,"Course content will vary. Philosophers not taught in a regular course or seminar, whose work is considered important, will be studied at the graduate level."
PHIL276G,Historical Philosophers,Examination of historical philosophers beyond those covered in Philosophy 106 and 151-166.
PHIL280G,Philosophical Psychology,A study at the graduate level of selected problems in philosophical psychology.
PHIL283G,Beginning Symbolic Logic,An introduction to symbolic logic at the graduate level.
PHIL284G,Intermediate Symbolic Logic,A continuation of the study of symbolic logic.
PHIL285G,Advanced Symbolic Logic,An advanced study of symbolic logic.
PHIL286G,Philosophical Logic,Topics in logical theory and the philosophy of logic: intensional logic andother non-standard logics (such as modal logic); discussion of results of modern logic and their philosophical implications.
PHIL287G,Philosophy of Mathematics,A study at the graduate level of selected problem in the philosophy of mathematics.
PHIL288G,Theory of Value,A study at the graduate level of selected problems in the theory of value.
PHIL296A,Seminar in Ethics,Graduate seminar in ethics. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL296B,Seminar in Epistemology,Graduate seminar in epistemology. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL296C,Seminar in the Philosophy of Language,Graduate seminar in the philosophy of language. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL296D,Seminar in the Philosophy of Mind,Graduate seminar in the philosophy of mind. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL296E,Seminar in Metaphysics,Graduate seminar in metaphysics. Specific subject matter is selected by theinstructor and descriptions are available in the department office before each quarter.
PHIL297A,Seminar in the History of Philosophy,Graduate seminar in the history of philosophy. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL297B,Seminar on Contemporary Figures in Philosophy,Graduate seminar on contemporary figures in philosophy. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL298A,Seminar in Aesthetics,Graduate seminar in aesthetics. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL298B,Seminar on Problems in Legal and Political Philosophy,Graduate seminar on problems in legal and political philosophy. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL299A,Seminar in the Philosophy of Logic,Graduate seminar in the philosophy of logic. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL299B,Seminar in the Philosophy of Mathematics,Graduate seminar in the philosophy of mathematics. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL299C,Seminar in the Philosophy of Science,Graduate seminar in the philosophy of science. Specific subject matter is selected by the instructor and descriptions are available in the department office before each quarter.
PHIL3,Critical Thinking,"Practical reasoning, argumentation, and the analysis of language as instruments of sound thinking in everyday life."
PHIL4,Introduction to Ethics,"An examination, at an introductory level, of such ethical issues as: why bemoral, moral relativism, the nature of virtues and vices; and possibly consideration of practical ethical problems such as abortion or war."
PHIL500,Apprentice Teaching in Philosophy,A teaching practicum involving the study and development of effective teaching techniques in philosophy. Each student will be responsible for andteach a class section in an undergraduate course in philosophy. One meetingper week with instructor and o...
PHIL501,Teaching Assistant Training,Instructional training. Orientation in professional conduct and responsibilities; observation of student's teaching (in the form of facultyvisits or videotaping) and follow-up conferences; discussion of teaching evaluations and workshops on pedagogic...
PHIL594,First-Year Proseminar,Special seminar for first-year graduate students in Philosophy.
PHIL596,Directed Reading and Research,A written proposal must be approved by the instructor and department chair.
PHIL597,Individual Study for Master's and/or Ph.D. Examinations for Advancement to Candidacy,Individual preparation for the doctoral qualifying examination.
PHIL598,Master's Thesis Research and Preparation,This course is for research and writing of the master's thesis.
PHIL599,Ph.D. Dissertation Research and Preparation,Ph.D. dissertation research and preparation.
PHIL6,Professional and Business Ethics,"Studies important ethical problems that arise in modern professions and business practice in light of traditional theories in moral and political philosophy. Issues such as medical ethics, ethics in law, codes of conduct for business, preferential tr..."
PHIL7,Biomedical Ethics,"An examination of philosophical thinking about moral issues raised by the practice of medicine. Traditional ethical theories and problems will serve as background to, and in turn be illuminated by, such issues as informed consent, paternalism, aborti..."
ASTRO1,Basic Astronomy,"A survey of the development of astronomy with an emphasis on understanding the observable properties of the solar system, the sun and other stars, our own and other galaxies, and the entire universe. Topics of current interest will be discussed as ti..."
ASTRO1H,Honors Supplement to Basic Astronomy,A supplement to Astronomy 1 emphasizing fundamental concepts and additional topics in astronomy. Intended for highly motivated and well prepared students.
ASTRO2,History of the Universe,"Content will vary with the professor and student interests. Course has included modern extragalactic astronomy and cosmology, quasars, active galactic nuclei, dark matter, gravitational lenses, the early universe, the origins of life, and the possibi..."
